"Q0","chi","bites_Bed","bites_Indoors","species","LHC_sample"
0.182271933244058,0.100152457358041,0.655369126044673,0.250532331189364,"aconitus",1
0.203308807864102,0.208656871532982,0.544842738090043,0.204383307184713,"aconitus",2
0.106339820415346,0.279698118622408,0.725082846489389,0.308966854303168,"aconitus",3
0.120763569009004,0.11585852266743,0.296272579577143,0.161625242306345,"aconitus",4
0.0525993537371059,0.336954918390013,0.661033099067656,0.133759742799549,"aconitus",5
0.175330423787383,0.150030143804808,0.749829377981744,0.315629796053628,"aconitus",6
0.0600541147591968,0.357305836746983,0.885410084561109,0.330650411317718,"aconitus",7
0.102490690001953,0.207831902934569,0.93655391187146,0.328070427107348,"aconitus",8
0.200617647635783,0.317137158522436,0.583715117122251,0.363172351419313,"aconitus",9
0.143033115553609,0.228458318651904,0.236081110946074,0.154609015409342,"aconitus",10
0.160986143530074,0.110975006896233,0.426897607221089,0.412059807170601,"aconitus",11
0.129234702045151,0.12708569830869,0.806712141964957,0.421427530290139,"aconitus",12
0.140381209784857,0.294997362068815,0.471594832033171,0.425371496879888,"aconitus",13
0.0734259977510068,0.212448338770567,0.972328776199283,0.332969262172967,"aconitus",14
0.196171588991371,0.310228639310734,0.902832109438936,0.137071347062535,"aconitus",15
0.099314770350778,0.186043390565866,0.53105069274391,0.158562952546305,"aconitus",16
0.147675300024117,0.360709001861655,0.614868467448569,0.141735092701289,"aconitus",17
0.145162091725805,0.28292414271667,0.893465098796762,0.163197558743954,"aconitus",18
0.114006743599718,0.299601292801046,0.752991311527707,0.146058532864627,"aconitus",19
0.212693666564986,0.166893621847786,0.520326787989365,0.261210119854401,"aconitus",20
0.170361818740199,0.25747966142242,0.478959814964933,0.414903817455138,"aconitus",21
0.0493899006112605,0.288420646578936,0.364266436622977,0.178348683847894,"aconitus",22
0.184836557467879,0.24080645907637,0.819941616699782,0.264733539088037,"aconitus",23
0.0910364333349071,0.236423066099056,0.552257029165591,0.280985095905354,"aconitus",24
0.191549429603117,0.314503241696566,0.791339782389292,0.403352335423422,"aconitus",25
0.197152662072113,0.319859734205532,0.438781028074412,0.344177732770066,"aconitus",26
0.215879521643109,0.193116180016467,0.395035321770138,0.396101951143761,"aconitus",27
0.172332632301593,0.0991101321707392,0.773131882840545,0.324816443512232,"aconitus",28
0.194831839975542,0.080537068589071,0.323738725209027,0.250142698377993,"aconitus",29
0.085881358471505,0.287792830415079,0.706192105112298,0.255513513148112,"aconitus",30
0.0834115243515751,0.181983479499477,0.259642014846656,0.369163562451031,"aconitus",31
0.188412172378915,0.226872808306129,0.328067672187938,0.222715375370865,"aconitus",32
0.163583600121053,0.0883487820577148,0.857054204792978,0.126151468681571,"aconitus",33
0.0809007502636494,0.261002430636733,0.69159018059781,0.290872041044903,"aconitus",34
0.056991714216151,0.23359650252541,0.872356006549582,0.397210835550588,"aconitus",35
0.122906286816932,0.158528822972908,0.928520999704892,0.236779885958301,"aconitus",36
0.126493998233916,0.269133242351737,0.305899686005573,0.35436170346837,"aconitus",37
0.111048396354668,0.0929913765079766,0.648594028496319,0.202049250171338,"aconitus",38
0.149503698214469,0.163903023047721,0.797971969945277,0.181384047547544,"aconitus",39
0.0824613634627879,0.176791980218208,0.955985120937475,0.296937886767611,"aconitus",40
0.199060101467346,0.104895576570591,0.817906544460239,0.199374007739636,"aconitus",41
0.0744260795754917,0.144065653190629,0.643370630587536,0.33810253354913,"aconitus",42
0.190336802246118,0.302473665174408,0.380041409705175,0.243018669772961,"aconitus",43
0.0613458640906301,0.274450978636278,0.563647914526124,0.273603212633087,"aconitus",44
0.156521840683107,0.076485624288275,0.847450679774532,0.423808808954661,"aconitus",45
0.112591729506468,0.264682122315148,0.497560651565585,0.188602529364093,"aconitus",46
